id,titulo,tid,ruta,fecha,dimensiones,lienzo,gramaje,precio,imagen,miniatura,descripcion
1800287,Pié de la torre de la catedral,176,plumillas/granada/centro/pie-de-la-torre,2020-08-03,,,,75,/images/plumillas/granada/pie-torre-catedral-granada.jpg,/images/plumillas/granada/pie-torre-catedral-granada.jpg,"Dibujo a plumilla original, firmado y fechado en 2020, de tamaño 16,5 x 24 cm. sobre papel guarro de 90 gr. de 21 x 28,3 cm."
1748801,Vista de Cadaqués,109,plumillas/catalunya/girona/cadaques/vista-de-cadaques,2020-07-03,,,,75,/images/plumillas/cadaques/vista-cadaques.jpg,/images/plumillas/cadaques/vista-cadaques.jpg,"Dibujo a plumilla original, firmado y fechado en 2020, de tamaño 18,3 x 20 cm. sobre papel guarro de 160 gr. De 23 x 32.5 cm."
3020001,Edificio Modernista en Cartagena Casa Maestre,142,plumillas/murcia/cartagena/edificio-modernista,2020-06-01,,,,80,/images/plumillas/cartagena/casa-maestre-cartagena.jpg,/images/plumillas/cartagena/casa-maestre-cartagena.jpg,"Dibujo a plumilla original, firmado y fechado en 2020, de tamaño 22 x 28,5 cm. sobre papel guarro de 90gr. de 28,1 x 28,1 cm."
1800286,Patio de los Arrayanes,155,plumillas/granada/alhambra/patio-arrayanes,2020-04-03,,,,75,/images/plumillas/granada/patio-arrayanes.jpg,/images/plumillas/granada/patio-arrayanes.jpg,"Dibujo a plumilla original, firmado y fechado en 2020, de tamaño 16 x 23 cm. sobre papel guarro de 90gr. de 21 x 28,1 cm."
1800285,Estanque en la Torre de las Damas,155,plumillas/granada/alhambra/estanque-torre-damas,2020-01-01,,,,75,/images/plumillas/granada/estanque-torre-damas.jpg,/images/plumillas/granada/estanque-torre-damas.jpg,"Dibujo a plumilla original, firmado y fechado en 2020, de tamaño 16 x 24 cm. sobre papel guarro de 90gr. de 21 x 28,1 cm."
100001,Los Arquillos,147,plumillas/pais-vasco/alava/vitoria/los-arquillos,2013-01-04,18 x 24,"20,9 x 29,6",160 gr,85,/images/plumillas/vitoria/los-arquillos-vitoria.jpg,/images/plumillas/vitoria/los-arquillos-vitoria.jpg,"Dibujo a plumilla original, firmado y fechado en 2006, de tamaño 18 x 24cm. sobre papel guarro de 160 gr. de 20,9 x 29,6 cm."
119301,Santuario Ntra. Sra. de Estíbaliz,148,plumillas/pais-vasco/alava/argandona/santuario-estibaliz,2006-01-03,16 x 20,"20,9 x 29,6",160 gr,65,/images/plumillas/argandona/santuario-estibaliz-argandona.jpg,/images/plumillas/argandona/santuario-estibaliz-argandona.jpg,"Dibujo a plumilla original, firmado y fechado en 2013, de tamaño 16 x 20 cm. sobre papel guarro de 160 gr. de 20,9 x 29,6 cm."
200001,Catedral de San Juan Bautista,130,plumillas/castilla-la-mancha/albacete/catedral,2020-05-02,25 x 17,"28,1 x 21",90 gr,85,/images/plumillas/albacete/catedral-albacete.jpg,/images/plumillas/albacete/catedral-albacete.jpg,"Dibujo a plumilla original, firmado y fechado en 2020, de tamaño 16 x 20 cm. sobre papel guarro de 160 gr. de 20,9 x 29,6 cm."
300001,Torres de la iglesia,153,plumillas/comunidad-valenciana/alicante/alicante/torres-iglesia,2010-12-04,10 x 14,"13,8 x 19,6",120 gr,30,/images/plumillas/alicante/torres-iglesia-alicante.jpg,/images/plumillas/alicante/torres-iglesia-alicante.jpg,"Dibujo a plumilla original, firmado y fechado en 2010, de tamaño 10 x 14 cm. Sobre papel guarro de 120 gr. de 13,8 x19,6 cm."
300002,Casa de Correos,153,plumillas/comunidad-valenciana/alicante/alicante/casa-correos,2015-11-03,"18,2 X 25,2","21 X 28,5",120 gr,90,/images/plumillas/alicante/casa-correos-alicante.jpg,/images/plumillas/alicante/casa-correos-alicante.jpg,"Dibujo a plumilla original, firmado y fechado en 2015, de tamaño 18,2 x 25,2 cm. Sobre papel guarro de 120 gr. de 21x28,5cm."
400001,Catedral de Almería,157,plumillas/andalucia/almeria/almeria/catedral,2006-01-10,23 x 15,"28,1 x 21",120 gr,,/images/plumillas/almeria/catedral-almeria.jpg,/images/plumillas/almeria/catedral-almeria.jpg,"Dibujo a plumilla original, firmado y fechado en 2006, de tamaño 23 x 15 cm. sobre papel guarro de 120 gr. de 28,1 x 21 cm"
