tid,ruta,nombre,padre
"1","expo-almuñecar","Oleos",
"2","plumillas/varios","Varios",
"3","plumillas/retratos","Retratos",
"4","plumillas/alpujarras","Rincones de las Alpujarras",
"5","plumillas/alemania","Alemania",
"6","plumillas/chile","Chile",
"7","plumillas/croacia","Croacia",
"8","plumillas/francia","Francia",
"9","plumillas/italia","Italia",
"10","plumillas/portugal","Portugal",
"11","plumillas/andalucia","Andalucía",
"12","plumillas/aragon","Aragón",5
"13","plumillas/asturias","Principado de Asturias",
"14","plumillas/baleares","Islas Baleares",
"15","plumillas/canarias","Canarias",
"16","plumillas/cantabria","Cantabria",
"17","plumillas/castilla-la-mancha","Castilla-La Mancha",
"18","plumillas/castilla-y-leon","Castilla y León",
"19","plumillas/catalunya","Cataluña",
"20","plumillas/extremadura","Extremadura",
"21","plumillas/galicia","Galicia",
"22","plumillas/madrid","Comunidad de Madrid",
"23","plumillas/murcia","Región de Murcia",
"24","plumillas/navarra","Navarra",
"25","plumillas/pais-vasco","País Vasco",
"26","plumillas/comunidad-valenciana","Comunidad Valenciana",
"27","plumillas/andalucia/almeria","Provincia de Almería",
"28","plumillas/andalucia/cadiz","Provincia de Cádiz",
"29","plumillas/andalucia/cordoba","Provincia de Córdoba",
"30","plumillas/granada","Granada",
"31","plumillas/andalucia/huelva","Provincia de Huelva",
"32","plumillas/andalucia/jaen","Provincia de Jaén",
"33","plumillas/andalucia/malaga","Provincia de Málaga",
"34","plumillas/andalucia/sevilla","Provincia de Sevilla",
"35","plumillas/aragon/huesca","Provincia de Huesca",12
"36","plumillas/","",
"37","plumillas/","",
"38","plumillas/","",
"39","plumillas/","",
"40","plumillas/","",
"41","plumillas/","",
"42","plumillas/","",
"43","plumillas/","",
"44","plumillas/","",
"45","plumillas/","",
"46","plumillas/","",
"47","plumillas/","",
"48","plumillas/","",
"49","plumillas/","",
"50","plumillas/","",
"51","plumillas/","",
"52","plumillas/","",
"53","plumillas/","",
"54","plumillas/","",
"55","plumillas/","",
"56","plumillas/","",
"57","plumillas/","",
"58","plumillas/","",
"59","plumillas/","",
"60","plumillas/","",
"61","plumillas/","",
"62","plumillas/","",
"63","plumillas/","",
"64","plumillas/","",
"65","plumillas/","",
"66","plumillas/","",
"67","plumillas/","",
"68","plumillas/","",
"69","plumillas/","",
"70","plumillas/","",
"666","plumillas/aragon/huesca/huesca","Huesca",35


"t2","plumillas/granada/granada","Granada"
"t3","plumillas/gerona/gerona","Gerona"
"t4","plumillas/granada/almuñecar","Almuñécar","t6"
"t5","plumillas/andalucia","Andalucía","t1"
"t6","plumillas/andalucia/granada","Granada","t5"
